ProbeID	ESJ1	isp2	ESJ1	isp2
1416295_a_at	94	155.7	A	P
1416296_at	46.4	99.5	A	A
1416297_s_at	36.4	90	A	A
1416298_at	73	123.1	P	P
1416299_at	4953	3899.3	P	P
1416300_a_at	17226.1	16364.8	P	P
1416301_a_at	149.7	34.6	P	P
1416302_at	108.4	68.9	P	P
1416303_at	1951.6	2696.8	P	P
1416304_at	940.6	1354.6	P	P
1416305_at	341.9	550.9	P	P
1416306_at	20.8	1.6	A	A
1416307_at	1103.2	664	P	P
1416308_at	1993.6	1407.7	P	P
1416309_at	5487.5	4874	P	P
1416310_at	57.3	67.9	A	P
1416311_s_at	1295.5	953	P	P
1416312_at	6279.2	4546.3	P	P
1416313_at	599.6	512.1	P	P
1416314_at	45.2	15.5	A	A
1416315_at	694	823.3	P	P
1416316_at	1407.8	649.7	P	P
1416317_a_at	183.3	187.8	P	P
1416318_at	63.8	30.2	A	A
1416319_at	4669.7	3147.4	P	P
1416320_at	742.7	572.2	P	P
1416321_s_at	5.4	31.1	A	A
1416322_at	6.3	4.2	A	A
1416323_at	476.9	651.3	P	P
1416324_s_at	692.7	690.5	P	P
1416325_at	54.6	617.1	M	P
1416326_at	1610.5	1094.1	P	P
1416327_at	2653.6	1852.1	P	P
1416328_a_at	3403.1	3165.7	P	P
1416329_at	3649.1	4290.3	P	P
1416330_at	5823.9	4735.3	P	P
1416331_a_at	962.8	1764.7	P	P
1416332_at	568.3	688.6	P	P
1416333_at	284.9	899.2	P	P
1416334_at	120.4	131.7	P	P
1416335_at	17834.6	17189.3	P	P
1416336_s_at	4778.3	3712.9	P	P
1416337_at	6557.6	4779.8	P	P
1416338_at	950.4	1003	P	P
1416339_a_at	1937.6	3601.8	P	P
1416340_a_at	1099.5	1725.3	P	P
1416341_at	6259	4320.6	P	P
1416342_at	749.1	568.2	P	P
1416343_a_at	420.5	448.3	P	P
1416344_at	655.6	658.2	P	P
1416345_at	6860.6	5151.7	P	P
1416346_at	3299.3	2253.8	P	P
1416347_at	908.9	675.9	P	P
1416348_at	343	284.7	P	P
1416349_at	3622.4	1539.9	P	P
1416350_at	707.1	881.1	P	P
1416351_at	3860.7	3557.1	P	P
1416352_s_at	4098.9	3067.4	P	P
1416353_at	965.8	1419.9	P	P
1416354_at	313	112.3	P	A
1416355_at	55.7	29.2	P	P
1416356_at	1096.5	874.4	P	P
1416357_a_at	273.2	648	P	P
1416358_at	495.5	837.2	P	P
1416359_at	1990.5	2041.2	P	P
1416360_at	517.4	775.7	P	P
1416361_a_at	96.7	54.7	A	P
1416362_a_at	5921.2	4813.3	P	P
1416363_at	112.2	207.9	P	P
1416364_at	17991.8	22511.2	P	P
1416365_at	15758.1	16996.5	P	P
1416366_at	6668.7	5339.5	P	P
1416367_at	932.4	902.1	P	P
1416368_at	9823.1	13967.7	P	P
1416369_at	1293.4	1463.2	P	P
1416370_at	896.8	724.4	P	P
1416371_at	269.8	101.7	P	A
1416372_at	1346.3	1190.4	P	P
1416373_at	1306.9	987.8	P	P
1416374_at	1272.9	968.7	P	P
1416375_at	182.4	121.7	P	P
1416376_at	1365.5	1076.2	P	P
1416377_at	802.4	1254.8	P	P
1416378_at	403.4	676.1	P	P
1416379_at	282.2	269.5	P	P
1416380_at	542.5	1157.3	P	P
1416381_a_at	1689.5	1348.7	P	P
1416382_at	1369.1	1421.3	P	P
1416383_a_at	201.4	342.4	P	P
1416384_a_at	3555.1	2293.8	P	P
1416385_a_at	3984.2	3838.1	P	P
1416386_a_at	2592	2839	P	P
1416387_at	619.4	1593.1	P	P
1416388_at	189.7	636.2	A	P
1416389_a_at	1285.5	1068.5	P	P
